date,age,deaths
10/31/2021,45-54 years,69
10/31/2021,50-64 years,259
10/31/2021,55-64 years,215
10/31/2021,65-74 years,374
10/31/2021,75-84 years,524
10/31/2021,85 years and over,956
11/30/2021,All Ages,5079
11/30/2021,Under 1 year,29
11/30/2021,0-17 years,48
11/30/2021,1-4 years,
11/30/2021,5-14 years,
11/30/2021,15-24 years,44
11/30/2021,18-29 years,71
11/30/2021,25-34 years,79
11/30/2021,30-39 years,129
11/30/2021,35-44 years,166
11/30/2021,40-49 years,168
11/30/2021,45-54 years,225
11/30/2021,50-64 years,789
11/30/2021,55-64 years,650
11/30/2021,65-74 years,949
11/30/2021,75-84 years,1286
11/30/2021,85 years and over,1639
11/30/2021,All Ages,2722
11/30/2021,Under 1 year,16
11/30/2021,0-17 years,25
11/30/2021,1-4 years,
11/30/2021,5-14 years,
11/30/2021,15-24 years,22
11/30/2021,18-29 years,46
11/30/2021,25-34 years,58
11/30/2021,30-39 years,90
11/30/2021,35-44 years,116
11/30/2021,40-49 years,107
11/30/2021,45-54 years,133
11/30/2021,50-64 years,484
11/30/2021,55-64 years,400
11/30/2021,65-74 years,562
11/30/2021,75-84 years,738
11/30/2021,85 years and over,670
11/30/2021,All Ages,2357
11/30/2021,Under 1 year,13
11/30/2021,0-17 years,23
11/30/2021,1-4 years,
11/30/2021,5-14 years,
11/30/2021,15-24 years,22
11/30/2021,18-29 years,25
11/30/2021,25-34 years,21
11/30/2021,30-39 years,39
11/30/2021,35-44 years,50
11/30/2021,40-49 years,61
11/30/2021,45-54 years,92
11/30/2021,50-64 years,305
11/30/2021,55-64 years,250
11/30/2021,65-74 years,387
11/30/2021,75-84 years,548
11/30/2021,85 years and over,969
12/31/2021,All Ages,5547
12/31/2021,Under 1 year,25
12/31/2021,0-17 years,54
12/31/2021,1-4 years,
12/31/2021,5-14 years,12
12/31/2021,15-24 years,48
12/31/2021,18-29 years,72
12/31/2021,25-34 years,104
12/31/2021,30-39 years,144
12/31/2021,35-44 years,161
12/31/2021,40-49 years,199
12/31/2021,45-54 years,284
12/31/2021,50-64 years,926
12/31/2021,55-64 years,756
12/31/2021,65-74 years,1141
12/31/2021,75-84 years,1350
12/31/2021,85 years and over,1661
12/31/2021,All Ages,2971
12/31/2021,Under 1 year,16
12/31/2021,0-17 years,30
12/31/2021,1-4 years,
12/31/2021,5-14 years,
12/31/2021,15-24 years,28
12/31/2021,18-29 years,49
12/31/2021,25-34 years,74
12/31/2021,30-39 years,98
12/31/2021,35-44 years,104
12/31/2021,40-49 years,122
12/31/2021,45-54 years,167
12/31/2021,50-64 years,575
12/31/2021,55-64 years,477
12/31/2021,65-74 years,694
12/31/2021,75-84 years,731
12/31/2021,85 years and over,672
12/31/2021,All Ages,2576
12/31/2021,Under 1 year,
12/31/2021,0-17 years,24
12/31/2021,1-4 years,
12/31/2021,5-14 years,
12/31/2021,15-24 years,20
12/31/2021,18-29 years,23
12/31/2021,25-34 years,30
12/31/2021,30-39 years,46
12/31/2021,35-44 years,57
12/31/2021,40-49 years,77
12/31/2021,45-54 years,117
12/31/2021,50-64 years,351
12/31/2021,55-64 years,279
12/31/2021,65-74 years,447
12/31/2021,75-84 years,619
12/31/2021,85 years and over,989
1/31/2022,All Ages,5246
1/31/2022,Under 1 year,24
1/31/2022,0-17 years,36
1/31/2022,1-4 years,
1/31/2022,5-14 years,
1/31/2022,15-24 years,36
1/31/2022,18-29 years,63
1/31/2022,25-34 years,85
1/31/2022,30-39 years,120
1/31/2022,35-44 years,141
1/31/2022,40-49 years,188
1/31/2022,45-54 years,278
1/31/2022,50-64 years,805
1/31/2022,55-64 years,637
1/31/2022,65-74 years,1057
1/31/2022,75-84 years,1260
1/31/2022,85 years and over,1717
1/31/2022,All Ages,2751
1/31/2022,Under 1 year,11
1/31/2022,0-17 years,19
1/31/2022,1-4 years,
1/31/2022,5-14 years,
1/31/2022,15-24 years,25
1/31/2022,18-29 years,45
1/31/2022,25-34 years,51
1/31/2022,30-39 years,75
1/31/2022,35-44 years,85
1/31/2022,40-49 years,112
1/31/2022,45-54 years,184
1/31/2022,50-64 years,505
1/31/2022,55-64 years,393
1/31/2022,65-74 years,622
1/31/2022,75-84 years,671
1/31/2022,85 years and over,702
1/31/2022,All Ages,2495
1/31/2022,Under 1 year,13
1/31/2022,0-17 years,17
1/31/2022,1-4 years,0
1/31/2022,5-14 years,
1/31/2022,15-24 years,11
1/31/2022,18-29 years,18
1/31/2022,25-34 years,34
1/31/2022,30-39 years,45
1/31/2022,35-44 years,56
1/31/2022,40-49 years,76
1/31/2022,45-54 years,94
1/31/2022,50-64 years,300
1/31/2022,55-64 years,244
1/31/2022,65-74 years,435
1/31/2022,75-84 years,589
1/31/2022,85 years and over,1015
2/28/2022,All Ages,4215
2/28/2022,Under 1 year,20
2/28/2022,0-17 years,38
2/28/2022,1-4 years,
2/28/2022,5-14 years,
2/28/2022,15-24 years,36
2/28/2022,18-29 years,65
2/28/2022,25-34 years,86
2/28/2022,30-39 years,110
2/28/2022,35-44 years,127
2/28/2022,40-49 years,136
2/28/2022,45-54 years,176
2/28/2022,50-64 years,597
2/28/2022,55-64 years,491
2/28/2022,65-74 years,823
2/28/2022,75-84 years,1054
2/28/2022,85 years and over,1392
2/28/2022,All Ages,2195
2/28/2022,Under 1 year,12
2/28/2022,0-17 years,21
2/28/2022,1-4 years,
2/28/2022,5-14 years,
2/28/2022,15-24 years,25
2/28/2022,18-29 years,48
2/28/2022,25-34 years,66
2/28/2022,30-39 years,77
2/28/2022,35-44 years,77
2/28/2022,40-49 years,82
2/28/2022,45-54 years,115
2/28/2022,50-64 years,384
2/28/2022,55-64 years,313
2/28/2022,65-74 years,486
2/28/2022,75-84 years,551
2/28/2022,85 years and over,546
2/28/2022,All Ages,2020
2/28/2022,Under 1 year,
2/28/2022,0-17 years,17
2/28/2022,1-4 years,
2/28/2022,5-14 years,
2/28/2022,15-24 years,11
2/28/2022,18-29 years,17
2/28/2022,25-34 years,20
2/28/2022,30-39 years,33
2/28/2022,35-44 years,50
2/28/2022,40-49 years,54
2/28/2022,45-54 years,61
2/28/2022,50-64 years,213
2/28/2022,55-64 years,178
2/28/2022,65-74 years,337
2/28/2022,75-84 years,503
2/28/2022,85 years and over,846
3/31/2022,All Ages,4033
3/31/2022,Under 1 year,22
3/31/2022,0-17 years,39
3/31/2022,1-4 years,
3/31/2022,5-14 years,
3/31/2022,15-24 years,32
3/31/2022,18-29 years,57
3/31/2022,25-34 years,84
3/31/2022,30-39 years,117
3/31/2022,35-44 years,128
3/31/2022,40-49 years,128
3/31/2022,45-54 years,170
3/31/2022,50-64 years,540
3/31/2022,55-64 years,433
3/31/2022,65-74 years,811
3/31/2022,75-84 years,976
3/31/2022,85 years and over,1365
3/31/2022,All Ages,2046
3/31/2022,Under 1 year,10
3/31/2022,0-17 years,23
3/31/2022,1-4 years,
3/31/2022,5-14 years,
3/31/2022,15-24 years,27
3/31/2022,18-29 years,50
3/31/2022,25-34 years,65
3/31/2022,30-39 years,86
3/31/2022,35-44 years,88
3/31/2022,40-49 years,86
3/31/2022,45-54 years,107
3/31/2022,50-64 years,316
3/31/2022,55-64 years,254
3/31/2022,65-74 years,474
3/31/2022,75-84 years,492
3/31/2022,85 years and over,519
3/31/2022,All Ages,1987
3/31/2022,Under 1 year,12
3/31/2022,0-17 years,16
3/31/2022,1-4 years,
3/31/2022,5-14 years,
3/31/2022,15-24 years,
3/31/2022,18-29 years,
3/31/2022,25-34 years,19
3/31/2022,30-39 years,31
3/31/2022,35-44 years,40
3/31/2022,40-49 years,42
3/31/2022,45-54 years,63
3/31/2022,50-64 years,224
3/31/2022,55-64 years,179
3/31/2022,65-74 years,337
3/31/2022,75-84 years,484
3/31/2022,85 years and over,846
4/30/2022,All Ages,3812
4/30/2022,Under 1 year,23
4/30/2022,0-17 years,39
4/30/2022,1-4 years,
4/30/2022,5-14 years,
4/30/2022,15-24 years,25
4/30/2022,18-29 years,46
4/30/2022,25-34 years,61
4/30/2022,30-39 years,83
4/30/2022,35-44 years,89
4/30/2022,40-49 years,100
4/30/2022,45-54 years,151
4/30/2022,50-64 years,533
4/30/2022,55-64 years,441
4/30/2022,65-74 years,709
4/30/2022,75-84 years,977
4/30/2022,85 years and over,1325
4/30/2022,All Ages,1959
4/30/2022,Under 1 year,14
4/30/2022,0-17 years,21
4/30/2022,1-4 years,
4/30/2022,5-14 years,
4/30/2022,15-24 years,12
4/30/2022,18-29 years,26
4/30/2022,25-34 years,41
4/30/2022,30-39 years,59
4/30/2022,35-44 years,58
4/30/2022,40-49 years,57
4/30/2022,45-54 years,88
4/30/2022,50-64 years,335
4/30/2022,55-64 years,280
4/30/2022,65-74 years,418
4/30/2022,75-84 years,504
4/30/2022,85 years and over,539
4/30/2022,All Ages,1853
4/30/2022,Under 1 year,
4/30/2022,0-17 years,18
4/30/2022,1-4 years,
4/30/2022,5-14 years,
4/30/2022,15-24 years,13
4/30/2022,18-29 years,20
4/30/2022,25-34 years,20
4/30/2022,30-39 years,24
4/30/2022,35-44 years,31
4/30/2022,40-49 years,43
4/30/2022,45-54 years,63
4/30/2022,50-64 years,198
4/30/2022,55-64 years,161
4/30/2022,65-74 years,291
4/30/2022,75-84 years,473
4/30/2022,85 years and over,786
5/31/2022,All Ages,3512
5/31/2022,Under 1 year,16
5/31/2022,0-17 years,24
5/31/2022,1-4 years,
5/31/2022,5-14 years,
5/31/2022,15-24 years,12
5/31/2022,18-29 years,22
5/31/2022,25-34 years,32
5/31/2022,30-39 years,41
5/31/2022,35-44 years,61
5/31/2022,40-49 years,94
5/31/2022,45-54 years,137
5/31/2022,50-64 years,464
5/31/2022,55-64 years,383
5/31/2022,65-74 years,678
5/31/2022,75-84 years,904
5/31/2022,85 years and over,1285
5/31/2022,All Ages,1783
5/31/2022,Under 1 year,
5/31/2022,0-17 years,12
5/31/2022,1-4 years,
5/31/2022,5-14 years,
5/31/2022,15-24 years,10
5/31/2022,18-29 years,17
5/31/2022,25-34 years,20
5/31/2022,30-39 years,25
5/31/2022,35-44 years,37
5/31/2022,40-49 years,53
5/31/2022,45-54 years,76
5/31/2022,50-64 years,286
5/31/2022,55-64 years,241
5/31/2022,65-74 years,397
5/31/2022,75-84 years,494
5/31/2022,85 years and over,499
5/31/2022,All Ages,1729
5/31/2022,Under 1 year,10
5/31/2022,0-17 years,12
5/31/2022,1-4 years,
5/31/2022,5-14 years,0
5/31/2022,15-24 years,
5/31/2022,18-29 years,
5/31/2022,25-34 years,12
5/31/2022,30-39 years,16
5/31/2022,35-44 years,24
5/31/2022,40-49 years,41
5/31/2022,45-54 years,61
5/31/2022,50-64 years,178
5/31/2022,55-64 years,142
5/31/2022,65-74 years,281
5/31/2022,75-84 years,410
5/31/2022,85 years and over,786
6/30/2022,All Ages,2852
6/30/2022,Under 1 year,11
6/30/2022,0-17 years,16
6/30/2022,1-4 years,0
6/30/2022,5-14 years,
6/30/2022,15-24 years,
6/30/2022,18-29 years,
6/30/2022,25-34 years,13
6/30/2022,30-39 years,28
6/30/2022,35-44 years,47
6/30/2022,40-49 years,62
6/30/2022,45-54 years,94
6/30/2022,50-64 years,395
6/30/2022,55-64 years,333
6/30/2022,65-74 years,541
6/30/2022,75-84 years,790
6/30/2022,85 years and over,1015
6/30/2022,All Ages,1431
6/30/2022,Under 1 year,
6/30/2022,0-17 years,
6/30/2022,1-4 years,0
6/30/2022,5-14 years,
6/30/2022,15-24 years,
6/30/2022,18-29 years,
6/30/2022,25-34 years,
6/30/2022,30-39 years,17
6/30/2022,35-44 years,24
6/30/2022,40-49 years,35
6/30/2022,45-54 years,56
6/30/2022,50-64 years,226
6/30/2022,55-64 years,190
6/30/2022,65-74 years,312
6/30/2022,75-84 years,415
6/30/2022,85 years and over,416
6/30/2022,All Ages,1421
6/30/2022,Under 1 year,
6/30/2022,0-17 years,
6/30/2022,1-4 years,0
6/30/2022,5-14 years,
6/30/2022,15-24 years,
6/30/2022,18-29 years,
6/30/2022,25-34 years,
6/30/2022,30-39 years,11
6/30/2022,35-44 years,23
6/30/2022,40-49 years,27
6/30/2022,45-54 years,38
6/30/2022,50-64 years,169
6/30/2022,55-64 years,143
6/30/2022,65-74 years,229
6/30/2022,75-84 years,375
6/30/2022,85 years and over,599
7/9/2022,All Ages,519
7/9/2022,Under 1 year,0
7/9/2022,0-17 years,0
7/9/2022,1-4 years,0
7/9/2022,5-14 years,0
7/9/2022,15-24 years,0
7/9/2022,18-29 years,0
7/9/2022,25-34 years,
7/9/2022,30-39 years,
7/9/2022,35-44 years,
7/9/2022,40-49 years,
7/9/2022,45-54 years,18
7/9/2022,50-64 years,63
7/9/2022,55-64 years,52
7/9/2022,65-74 years,96
7/9/2022,75-84 years,149
7/9/2022,85 years and over,198
7/9/2022,All Ages,266
7/9/2022,Under 1 year,0
7/9/2022,0-17 years,0
7/9/2022,1-4 years,0
7/9/2022,5-14 years,0
7/9/2022,15-24 years,0
7/9/2022,18-29 years,0
7/9/2022,25-34 years,
7/9/2022,30-39 years,
7/9/2022,35-44 years,
7/9/2022,40-49 years,
7/9/2022,45-54 years,11
7/9/2022,50-64 years,34
7/9/2022,55-64 years,27
7/9/2022,65-74 years,55
7/9/2022,75-84 years,86
7/9/2022,85 years and over,83
7/9/2022,All Ages,253
7/9/2022,Under 1 year,0
7/9/2022,0-17 years,0
7/9/2022,1-4 years,0
7/9/2022,5-14 years,0
7/9/2022,15-24 years,0
7/9/2022,18-29 years,0
7/9/2022,25-34 years,0
7/9/2022,30-39 years,
7/9/2022,35-44 years,
7/9/2022,40-49 years,
7/9/2022,45-54 years,
7/9/2022,50-64 years,29
7/9/2022,55-64 years,25
7/9/2022,65-74 years,41
7/9/2022,75-84 years,63
7/9/2022,85 years and over,115
1/31/2020,All Ages,2788
1/31/2020,Under 1 year,19
1/31/2020,0-17 years,31
1/31/2020,1-4 years,
1/31/2020,5-14 years,
1/31/2020,15-24 years,27
1/31/2020,18-29 years,42
1/31/2020,25-34 years,55
1/31/2020,30-39 years,64
1/31/2020,35-44 years,102
1/31/2020,40-49 years,130
1/31/2020,45-54 years,167
1/31/2020,50-64 years,550
1/31/2020,55-64 years,442
1/31/2020,65-74 years,637
1/31/2020,75-84 years,654
1/31/2020,85 years and over,680
1/31/2020,All Ages,1368
1/31/2020,Under 1 year,11
1/31/2020,0-17 years,19
1/31/2020,1-4 years,
1/31/2020,5-14 years,
1/31/2020,15-24 years,15
1/31/2020,18-29 years,27
1/31/2020,25-34 years,38
1/31/2020,30-39 years,41
1/31/2020,35-44 years,62
1/31/2020,40-49 years,77
1/31/2020,45-54 years,99
1/31/2020,50-64 years,310
1/31/2020,55-64 years,245
1/31/2020,65-74 years,353
1/31/2020,75-84 years,318
1/31/2020,85 years and over,223
1/31/2020,All Ages,1420
1/31/2020,Under 1 year,
1/31/2020,0-17 years,12
1/31/2020,1-4 years,
1/31/2020,5-14 years,0
1/31/2020,15-24 years,12
1/31/2020,18-29 years,15
1/31/2020,25-34 years,17
1/31/2020,30-39 years,23
1/31/2020,35-44 years,40
1/31/2020,40-49 years,53
1/31/2020,45-54 years,68
1/31/2020,50-64 years,240
1/31/2020,55-64 years,197
1/31/2020,65-74 years,284
1/31/2020,75-84 years,336
1/31/2020,85 years and over,457
2/29/2020,All Ages,2729
2/29/2020,Under 1 year,16
2/29/2020,0-17 years,40
2/29/2020,1-4 years,
2/29/2020,5-14 years,11
2/29/2020,15-24 years,34
2/29/2020,18-29 years,59
2/29/2020,25-34 years,71
2/29/2020,30-39 years,84
2/29/2020,35-44 years,103
2/29/2020,40-49 years,128
2/29/2020,45-54 years,179
2/29/2020,50-64 years,522
2/29/2020,55-64 years,412
2/29/2020,65-74 years,571
2/29/2020,75-84 years,700
2/29/2020,85 years and over,625
2/29/2020,All Ages,1419
2/29/2020,Under 1 year,10
2/29/2020,0-17 years,26
2/29/2020,1-4 years,
2/29/2020,5-14 years,
2/29/2020,15-24 years,27
2/29/2020,18-29 years,47
2/29/2020,25-34 years,53
2/29/2020,30-39 years,59
2/29/2020,35-44 years,71
2/29/2020,40-49 years,83
2/29/2020,45-54 years,100
2/29/2020,50-64 years,311
2/29/2020,55-64 years,254
2/29/2020,65-74 years,312
2/29/2020,75-84 years,339
2/29/2020,85 years and over,242
2/29/2020,All Ages,1310
2/29/2020,Under 1 year,
2/29/2020,0-17 years,14
2/29/2020,1-4 years,
2/29/2020,5-14 years,
2/29/2020,15-24 years,
2/29/2020,18-29 years,12
2/29/2020,25-34 years,18
2/29/2020,30-39 years,25
2/29/2020,35-44 years,32
2/29/2020,40-49 years,45
2/29/2020,45-54 years,79
2/29/2020,50-64 years,211
2/29/2020,55-64 years,158
2/29/2020,65-74 years,259
2/29/2020,75-84 years,361
2/29/2020,85 years and over,383
3/31/2020,All Ages,2893
3/31/2020,Under 1 year,21
3/31/2020,0-17 years,39
3/31/2020,1-4 years,
3/31/2020,5-14 years,10
3/31/2020,15-24 years,31
3/31/2020,18-29 years,48
3/31/2020,25-34 years,52
3/31/2020,30-39 years,85
3/31/2020,35-44 years,109
3/31/2020,40-49 years,152
3/31/2020,45-54 years,214
3/31/2020,50-64 years,590
3/31/2020,55-64 years,472
3/31/2020,65-74 years,659
3/31/2020,75-84 years,687
3/31/2020,85 years and over,633
3/31/2020,All Ages,1532
3/31/2020,Under 1 year,10
3/31/2020,0-17 years,22
3/31/2020,1-4 years,
3/31/2020,5-14 years,
3/31/2020,15-24 years,23
3/31/2020,18-29 years,35
3/31/2020,25-34 years,37
3/31/2020,30-39 years,57
3/31/2020,35-44 years,61
3/31/2020,40-49 years,89
3/31/2020,45-54 years,131
3/31/2020,50-64 years,358
3/31/2020,55-64 years,290
3/31/2020,65-74 years,376
3/31/2020,75-84 years,348
3/31/2020,85 years and over,247
3/31/2020,All Ages,1361
3/31/2020,Under 1 year,11
3/31/2020,0-17 years,17
3/31/2020,1-4 years,
3/31/2020,5-14 years,
3/31/2020,15-24 years,
3/31/2020,18-29 years,13
3/31/2020,25-34 years,15
3/31/2020,30-39 years,28
3/31/2020,35-44 years,48
3/31/2020,40-49 years,63
3/31/2020,45-54 years,83
3/31/2020,50-64 years,232
3/31/2020,55-64 years,182
3/31/2020,65-74 years,283
3/31/2020,75-84 years,339
3/31/2020,85 years and over,386
4/30/2020,All Ages,3117
4/30/2020,Under 1 year,16
4/30/2020,0-17 years,35
4/30/2020,1-4 years,
4/30/2020,5-14 years,11
4/30/2020,15-24 years,25
4/30/2020,18-29 years,56
4/30/2020,25-34 years,63
4/30/2020,30-39 years,75
4/30/2020,35-44 years,127
4/30/2020,40-49 years,163
4/30/2020,45-54 years,202
4/30/2020,50-64 years,592
4/30/2020,55-64 years,471
4/30/2020,65-74 years,665
4/30/2020,75-84 years,761
4/30/2020,85 years and over,770
4/30/2020,All Ages,1620
4/30/2020,Under 1 year,
4/30/2020,0-17 years,22
4/30/2020,1-4 years,
4/30/2020,5-14 years,
4/30/2020,15-24 years,19
4/30/2020,18-29 years,45
4/30/2020,25-34 years,50
4/30/2020,30-39 years,50
4/30/2020,35-44 years,78
4/30/2020,40-49 years,96
4/30/2020,45-54 years,118
4/30/2020,50-64 years,365
4/30/2020,55-64 years,293
4/30/2020,65-74 years,395
4/30/2020,75-84 years,385
4/30/2020,85 years and over,262
4/30/2020,All Ages,1497
4/30/2020,Under 1 year,
4/30/2020,0-17 years,13
4/30/2020,1-4 years,
4/30/2020,5-14 years,
4/30/2020,15-24 years,
4/30/2020,18-29 years,11
4/30/2020,25-34 years,13
4/30/2020,30-39 years,25
4/30/2020,35-44 years,49
4/30/2020,40-49 years,67
4/30/2020,45-54 years,84
4/30/2020,50-64 years,227
4/30/2020,55-64 years,178
4/30/2020,65-74 years,270
4/30/2020,75-84 years,376
4/30/2020,85 years and over,508
5/31/2020,All Ages,3337
5/31/2020,Under 1 year,24
5/31/2020,0-17 years,38
5/31/2020,1-4 years,
5/31/2020,5-14 years,
5/31/2020,15-24 years,46
5/31/2020,18-29 years,70
5/31/2020,25-34 years,79
5/31/2020,30-39 years,101
5/31/2020,35-44 years,124
5/31/2020,40-49 years,175
5/31/2020,45-54 years,238
5/31/2020,50-64 years,640
5/31/2020,55-64 years,504
5/31/2020,65-74 years,747
5/31/2020,75-84 years,814
5/31/2020,85 years and over,752
5/31/2020,All Ages,1723
5/31/2020,Under 1 year,
5/31/2020,0-17 years,19
5/31/2020,1-4 years,
5/31/2020,5-14 years,
5/31/2020,15-24 years,31
5/31/2020,18-29 years,48
5/31/2020,25-34 years,55
5/31/2020,30-39 years,66
5/31/2020,35-44 years,73
5/31/2020,40-49 years,105
5/31/2020,45-54 years,148
5/31/2020,50-64 years,381
5/31/2020,55-64 years,297
5/31/2020,65-74 years,434
5/31/2020,75-84 years,417
5/31/2020,85 years and over,253
5/31/2020,All Ages,1614
5/31/2020,Under 1 year,15
5/31/2020,0-17 years,19
5/31/2020,1-4 years,
5/31/2020,5-14 years,
5/31/2020,15-24 years,15
5/31/2020,18-29 years,22
5/31/2020,25-34 years,24
5/31/2020,30-39 years,35
5/31/2020,35-44 years,51
5/31/2020,40-49 years,70
5/31/2020,45-54 years,90
5/31/2020,50-64 years,259
5/31/2020,55-64 years,207
5/31/2020,65-74 years,313
5/31/2020,75-84 years,397
5/31/2020,85 years and over,499
6/30/2020,All Ages,3094
6/30/2020,Under 1 year,21
6/30/2020,0-17 years,38
6/30/2020,1-4 years,
6/30/2020,5-14 years,
6/30/2020,15-24 years,51
6/30/2020,18-29 years,87
6/30/2020,25-34 years,87
6/30/2020,30-39 years,90
6/30/2020,35-44 years,115
6/30/2020,40-49 years,186
6/30/2020,45-54 years,237
6/30/2020,50-64 years,577
6/30/2020,55-64 years,458
6/30/2020,65-74 years,653
6/30/2020,75-84 years,759
6/30/2020,85 years and over,704
6/30/2020,All Ages,1611
6/30/2020,Under 1 year,14
6/30/2020,0-17 years,28
6/30/2020,1-4 years,
6/30/2020,5-14 years,
6/30/2020,15-24 years,46
6/30/2020,18-29 years,68
6/30/2020,25-34 years,56
6/30/2020,30-39 years,56
6/30/2020,35-44 years,76
6/30/2020,40-49 years,117
6/30/2020,45-54 years,141
6/30/2020,50-64 years,347
6/30/2020,55-64 years,277
6/30/2020,65-74 years,373
6/30/2020,75-84 years,362
6/30/2020,85 years and over,260
6/30/2020,All Ages,1483
6/30/2020,Under 1 year,
6/30/2020,0-17 years,10
6/30/2020,1-4 years,
6/30/2020,5-14 years,
6/30/2020,15-24 years,
6/30/2020,18-29 years,19
6/30/2020,25-34 years,31
6/30/2020,30-39 years,34
6/30/2020,35-44 years,39
6/30/2020,40-49 years,69
6/30/2020,45-54 years,96
6/30/2020,50-64 years,230
6/30/2020,55-64 years,181
6/30/2020,65-74 years,280
6/30/2020,75-84 years,397
6/30/2020,85 years and over,444
7/31/2020,All Ages,3628
7/31/2020,Under 1 year,23
7/31/2020,0-17 years,45
7/31/2020,1-4 years,
7/31/2020,5-14 years,11
7/31/2020,15-24 years,45
7/31/2020,18-29 years,83
7/31/2020,25-34 years,99
7/31/2020,30-39 years,110
7/31/2020,35-44 years,125
7/31/2020,40-49 years,176
7/31/2020,45-54 years,266
7/31/2020,50-64 years,756
7/31/2020,55-64 years,597
7/31/2020,65-74 years,814
7/31/2020,75-84 years,819
7/31/2020,85 years and over,825
7/31/2020,All Ages,1922
7/31/2020,Under 1 year,14
7/31/2020,0-17 years,32
7/31/2020,1-4 years,
7/31/2020,5-14 years,10
7/31/2020,15-24 years,40
7/31/2020,18-29 years,66
7/31/2020,25-34 years,63
7/31/2020,30-39 years,70
7/31/2020,35-44 years,87
7/31/2020,40-49 years,101
7/31/2020,45-54 years,146
7/31/2020,50-64 years,457
7/31/2020,55-64 years,363
7/31/2020,65-74 years,477
7/31/2020,75-84 years,412
7/31/2020,85 years and over,307
7/31/2020,All Ages,1706
7/31/2020,Under 1 year,
7/31/2020,0-17 years,13
7/31/2020,1-4 years,
7/31/2020,5-14 years,
7/31/2020,15-24 years,
7/31/2020,18-29 years,17
7/31/2020,25-34 years,36
7/31/2020,30-39 years,40
7/31/2020,35-44 years,38
7/31/2020,40-49 years,75
7/31/2020,45-54 years,120
7/31/2020,50-64 years,299
7/31/2020,55-64 years,234
7/31/2020,65-74 years,337
7/31/2020,75-84 years,407
7/31/2020,85 years and over,518
8/31/2020,All Ages,3725
8/31/2020,Under 1 year,19
8/31/2020,0-17 years,40
8/31/2020,1-4 years,
8/31/2020,5-14 years,
8/31/2020,15-24 years,41
8/31/2020,18-29 years,77
8/31/2020,25-34 years,97
8/31/2020,30-39 years,137
8/31/2020,35-44 years,166
8/31/2020,40-49 years,202
8/31/2020,45-54 years,250
8/31/2020,50-64 years,713
8/31/2020,55-64 years,581
8/31/2020,65-74 years,821
8/31/2020,75-84 years,864
8/31/2020,85 years and over,871
8/31/2020,All Ages,1986
8/31/2020,Under 1 year,13
8/31/2020,0-17 years,25
8/31/2020,1-4 years,
8/31/2020,5-14 years,
8/31/2020,15-24 years,29
8/31/2020,18-29 years,58
8/31/2020,25-34 years,77
8/31/2020,30-39 years,92
8/31/2020,35-44 years,97
8/31/2020,40-49 years,111
8/31/2020,45-54 years,143
8/31/2020,50-64 years,432
8/31/2020,55-64 years,352
8/31/2020,65-74 years,489
8/31/2020,75-84 years,456
8/31/2020,85 years and over,323
8/31/2020,All Ages,1739
8/31/2020,Under 1 year,
8/31/2020,0-17 years,15
8/31/2020,1-4 years,
8/31/2020,5-14 years,
8/31/2020,15-24 years,12
8/31/2020,18-29 years,19
8/31/2020,25-34 years,20
8/31/2020,30-39 years,45
8/31/2020,35-44 years,69
8/31/2020,40-49 years,91
8/31/2020,45-54 years,107
8/31/2020,50-64 years,281
8/31/2020,55-64 years,229
8/31/2020,65-74 years,332
8/31/2020,75-84 years,408
8/31/2020,85 years and over,548
9/30/2020,All Ages,3137
9/30/2020,Under 1 year,22
9/30/2020,0-17 years,38
9/30/2020,1-4 years,
9/30/2020,5-14 years,
9/30/2020,15-24 years,49
9/30/2020,18-29 years,65
9/30/2020,25-34 years,61
9/30/2020,30-39 years,84
9/30/2020,35-44 years,123
9/30/2020,40-49 years,157
9/30/2020,45-54 years,199
9/30/2020,50-64 years,600
9/30/2020,55-64 years,483
9/30/2020,65-74 years,746
9/30/2020,75-84 years,714
9/30/2020,85 years and over,733
9/30/2020,All Ages,1634
9/30/2020,Under 1 year,11
9/30/2020,0-17 years,23
9/30/2020,1-4 years,
9/30/2020,5-14 years,
9/30/2020,15-24 years,37
9/30/2020,18-29 years,48
9/30/2020,25-34 years,44
9/30/2020,30-39 years,59
9/30/2020,35-44 years,85
9/30/2020,40-49 years,99
9/30/2020,45-54 years,125
9/30/2020,50-64 years,387
9/30/2020,55-64 years,310
9/30/2020,65-74 years,415
9/30/2020,75-84 years,345
9/30/2020,85 years and over,258
9/30/2020,All Ages,1503
9/30/2020,Under 1 year,11
9/30/2020,0-17 years,15
9/30/2020,1-4 years,0
9/30/2020,5-14 years,
9/30/2020,15-24 years,12
9/30/2020,18-29 years,17
9/30/2020,25-34 years,17
9/30/2020,30-39 years,25
9/30/2020,35-44 years,38
9/30/2020,40-49 years,58
9/30/2020,45-54 years,74
9/30/2020,50-64 years,213
9/30/2020,55-64 years,173
9/30/2020,65-74 years,331
9/30/2020,75-84 years,369
9/30/2020,85 years and over,475
10/31/2020,All Ages,3208
10/31/2020,Under 1 year,17
10/31/2020,0-17 years,37
10/31/2020,1-4 years,
10/31/2020,5-14 years,12
10/31/2020,15-24 years,32
10/31/2020,18-29 years,65
10/31/2020,25-34 years,83
10/31/2020,30-39 years,94
10/31/2020,35-44 years,128
10/31/2020,40-49 years,172
10/31/2020,45-54 years,217
10/31/2020,50-64 years,620
