date,age,deaths
7/9/2022,25-34 years,961
7/9/2022,30-39 years,1290
7/9/2022,35-44 years,1570
7/9/2022,40-49 years,1958
7/9/2022,45-54 years,2602
7/9/2022,50-64 years,7186
7/9/2022,55-64 years,5670
7/9/2022,65-74 years,9729
7/9/2022,75-84 years,13087
7/9/2022,85 years and over,20157
7/9/2022,All Ages,90376
7/9/2022,Under 1 year,369
7/9/2022,0-17 years,625
7/9/2022,1-4 years,52
7/9/2022,5-14 years,96
7/9/2022,15-24 years,669
7/9/2022,18-29 years,1275
7/9/2022,25-34 years,1708
7/9/2022,30-39 years,2212
7/9/2022,35-44 years,2563
7/9/2022,40-49 years,2974
7/9/2022,45-54 years,4400
7/9/2022,50-64 years,13223
7/9/2022,55-64 years,10452
7/9/2022,65-74 years,15444
7/9/2022,75-84 years,21411
7/9/2022,85 years and over,33212
7/9/2022,All Ages,45797
7/9/2022,Under 1 year,227
7/9/2022,0-17 years,389
7/9/2022,1-4 years,28
7/9/2022,5-14 years,54
7/9/2022,15-24 years,483
7/9/2022,18-29 years,934
7/9/2022,25-34 years,1231
7/9/2022,30-39 years,1564
7/9/2022,35-44 years,1756
7/9/2022,40-49 years,1948
7/9/2022,45-54 years,2848
7/9/2022,50-64 years,8323
7/9/2022,55-64 years,6531
7/9/2022,65-74 years,8878
7/9/2022,75-84 years,10966
7/9/2022,85 years and over,12795
7/9/2022,All Ages,44579
7/9/2022,Under 1 year,142
7/9/2022,0-17 years,236
7/9/2022,1-4 years,24
7/9/2022,5-14 years,42
7/9/2022,15-24 years,186
7/9/2022,18-29 years,341
7/9/2022,25-34 years,477
7/9/2022,30-39 years,648
7/9/2022,35-44 years,807
7/9/2022,40-49 years,1026
7/9/2022,45-54 years,1552
7/9/2022,50-64 years,4900
7/9/2022,55-64 years,3921
7/9/2022,65-74 years,6566
7/9/2022,75-84 years,10445
7/9/2022,85 years and over,20417
7/9/2022,All Ages,27839
7/9/2022,Under 1 year,168
7/9/2022,0-17 years,311
7/9/2022,1-4 years,41
7/9/2022,5-14 years,52
7/9/2022,15-24 years,282
7/9/2022,18-29 years,464
7/9/2022,25-34 years,585
7/9/2022,30-39 years,761
7/9/2022,35-44 years,868
7/9/2022,40-49 years,991
7/9/2022,45-54 years,1440
7/9/2022,50-64 years,4432
7/9/2022,55-64 years,3523
7/9/2022,65-74 years,5909
7/9/2022,75-84 years,7153
7/9/2022,85 years and over,7818
7/9/2022,All Ages,14619
7/9/2022,Under 1 year,86
7/9/2022,0-17 years,171
7/9/2022,1-4 years,23
7/9/2022,5-14 years,25
7/9/2022,15-24 years,208
7/9/2022,18-29 years,341
7/9/2022,25-34 years,423
7/9/2022,30-39 years,521
7/9/2022,35-44 years,548
7/9/2022,40-49 years,627
7/9/2022,45-54 years,930
7/9/2022,50-64 years,2692
7/9/2022,55-64 years,2109
7/9/2022,65-74 years,3340
7/9/2022,75-84 years,3743
7/9/2022,85 years and over,3184
7/9/2022,All Ages,13220
7/9/2022,Under 1 year,82
7/9/2022,0-17 years,140
7/9/2022,1-4 years,18
7/9/2022,5-14 years,27
7/9/2022,15-24 years,74
7/9/2022,18-29 years,123
7/9/2022,25-34 years,162
7/9/2022,30-39 years,240
7/9/2022,35-44 years,320
7/9/2022,40-49 years,364
7/9/2022,45-54 years,510
7/9/2022,50-64 years,1740
7/9/2022,55-64 years,1414
7/9/2022,65-74 years,2569
7/9/2022,75-84 years,3410
7/9/2022,85 years and over,4634
7/9/2022,All Ages,17275
7/9/2022,Under 1 year,266
7/9/2022,0-17 years,464
7/9/2022,1-4 years,65
7/9/2022,5-14 years,87
7/9/2022,15-24 years,290
7/9/2022,18-29 years,518
